107
1000
165	3
164	3
163	4
162	6
161	7
160	3
159	6
158	4
157	3
156	6
155	6
154	2
153	6
152	5
151	6
150	2
149	7
148	2
147	11
146	4
145	3
144	3
143	9
142	6
141	5
140	4
139	6
138	8
137	2
136	4
135	3
134	6
133	4
132	4
131	6
130	4
129	6
128	2
127	1
126	6
125	7
124	4
123	8
122	3
121	6
120	6
119	1
118	4
117	1
116	1
115	6
114	5
113	8
112	1
111	5
110	6
109	6
108	4
107	3
106	12
105	2
104	2
103	7
102	2
101	5
100	4
98	7
97	6
96	12
95	6
93	7
92	7
91	2
90	3
89	6
88	3
87	4
86	5
85	5
84	4
83	3
82	9
81	5
80	5
79	6
78	3
77	9
76	4
75	2
74	7
73	3
72	5
71	2
70	3
69	4
68	2
67	5
66	4
65	3
64	3
63	2
62	4
61	5
60	4
59	3
58	3
57	8
