100
120
100	5
99	11
98	7
97	3
96	8
95	4
94	5
93	1
92	4
91	6
90	5
89	5
88	5
87	3
86	4
85	4
84	6
83	6
82	8
81	5
80	4
79	4
78	3
77	3
76	2
75	2
74	5
73	3
72	8
71	5
70	8
69	4
68	2
67	7
66	3
65	4
64	10
63	7
62	5
61	5
60	3
59	2
58	6
57	4
56	4
55	6
54	4
53	3
52	5
51	5
50	9
49	3
48	3
47	6
46	5
45	4
44	3
43	7
42	8
41	6
40	7
39	5
38	4
37	5
36	8
35	2
34	8
33	5
32	2
31	6
30	1
29	3
28	7
27	4
26	8
25	6
24	9
23	3
22	3
21	6
20	6
19	4
18	10
17	5
16	5
15	5
14	5
13	5
12	4
11	6
10	5
9	3
8	1
7	9
6	3
5	9
4	2
3	5
2	9
1	2
